file,field,pandas_dtype,missing_count,missing_percent,blank_string_count,distinct_count
FOIA_7a_FY1991_FY1999_asof_260630.csv,AsOfDate,object,0,0.0,0,1
FOIA_7a_FY1991_FY1999_asof_260630.csv,Program,object,0,0.0,0,1
FOIA_7a_FY1991_FY1999_asof_260630.csv,LocationID,float64,2213,0.6566,0,4345
FOIA_7a_FY1991_FY1999_asof_260630.csv,BorrName,object,4,0.0012,0,294935
FOIA_7a_FY1991_FY1999_asof_260630.csv,BorrStreet,object,90,0.0267,0,307024
FOIA_7a_FY1991_FY1999_asof_260630.csv,BorrCity,object,2,0.0006,0,18843
FOIA_7a_FY1991_FY1999_asof_260630.csv,BorrState,object,0,0.0,5,60
FOIA_7a_FY1991_FY1999_asof_260630.csv,BorrZip,int64,0,0.0,0,27068
FOIA_7a_FY1991_FY1999_asof_260630.csv,BankName,object,2213,0.6566,0,3634
FOIA_7a_FY1991_FY1999_asof_260630.csv,BankFDICNumber,float64,44469,13.1943,0,2907
FOIA_7a_FY1991_FY1999_asof_260630.csv,BankNCUANumber,float64,335966,99.6834,0,67
FOIA_7a_FY1991_FY1999_asof_260630.csv,BankStreet,object,2217,0.6578,0,4099
FOIA_7a_FY1991_FY1999_asof_260630.csv,BankCity,object,2214,0.6569,0,2744
FOIA_7a_FY1991_FY1999_asof_260630.csv,BankState,object,2251,0.6679,0,62
FOIA_7a_FY1991_FY1999_asof_260630.csv,BankZip,object,2225,0.6602,0,3466
FOIA_7a_FY1991_FY1999_asof_260630.csv,GrossApproval,float64,0,0.0,0,15961
FOIA_7a_FY1991_FY1999_asof_260630.csv,SBAGuaranteedApproval,float64,0,0.0,0,29436
FOIA_7a_FY1991_FY1999_asof_260630.csv,ApprovalDate,object,0,0.0,0,2374
FOIA_7a_FY1991_FY1999_asof_260630.csv,ApprovalFY,int64,0,0.0,0,9
FOIA_7a_FY1991_FY1999_asof_260630.csv,FirstDisbursementDate,object,43915,13.0299,0,2816
FOIA_7a_FY1991_FY1999_asof_260630.csv,ProcessingMethod,object,0,0.0,0,17
FOIA_7a_FY1991_FY1999_asof_260630.csv,InitialInterestRate,float64,337033,100.0,0,0
FOIA_7a_FY1991_FY1999_asof_260630.csv,FixedorVariableInterestInd,float64,337033,100.0,0,0
FOIA_7a_FY1991_FY1999_asof_260630.csv,TermInMonths,float64,0,0.0,0,406
FOIA_7a_FY1991_FY1999_asof_260630.csv,NaicsCode,float64,184071,54.6151,0,835
FOIA_7a_FY1991_FY1999_asof_260630.csv,NaicsDescription,object,184071,54.6151,0,970
FOIA_7a_FY1991_FY1999_asof_260630.csv,FranchiseCode,object,315465,93.6006,0,1536
FOIA_7a_FY1991_FY1999_asof_260630.csv,FranchiseName,object,315465,93.6006,0,1534
FOIA_7a_FY1991_FY1999_asof_260630.csv,ProjectCounty,object,256,0.076,0,1907
FOIA_7a_FY1991_FY1999_asof_260630.csv,ProjectState,object,0,0.0,5,60
FOIA_7a_FY1991_FY1999_asof_260630.csv,SBADistrictOffice,object,0,0.0,0,71
FOIA_7a_FY1991_FY1999_asof_260630.csv,CongressionalDistrict,float64,993,0.2946,0,54
FOIA_7a_FY1991_FY1999_asof_260630.csv,BusinessType,object,3963,1.1758,0,3
FOIA_7a_FY1991_FY1999_asof_260630.csv,BusinessAge,object,7,0.0021,0,5
FOIA_7a_FY1991_FY1999_asof_260630.csv,LoanStatus,object,0,0.0,0,4
FOIA_7a_FY1991_FY1999_asof_260630.csv,PaidInFullDate,object,80817,23.979,0,251
