period,issue,affected_count,percent_of_period_rows
FY1991-FY1999,ApprovalDate after AsOfDate,0,0.0
FY1991-FY1999,ApprovalDate: non-null value did not parse,0,0.0
FY1991-FY1999,ApprovalFY inconsistent with ApprovalDate fiscal year,0,0.0
FY1991-FY1999,AsOfDate: non-null value did not parse,0,0.0
FY1991-FY1999,Both PaidInFullDate and ChargeOffDate present,0,0.0
FY1991-FY1999,CHGOFF status missing ChargeOffDate,38,0.011275
FY1991-FY1999,CHGOFF status with zero or missing GrossChargeOffAmount,157,0.046583
FY1991-FY1999,ChargeOffDate after AsOfDate,1,0.000297
FY1991-FY1999,ChargeOffDate before ApprovalDate,0,0.0
FY1991-FY1999,ChargeOffDate: non-null value did not parse,0,0.0
FY1991-FY1999,FirstDisbursementDate after AsOfDate,0,0.0
FY1991-FY1999,FirstDisbursementDate before ApprovalDate,507,0.15043
FY1991-FY1999,FirstDisbursementDate: non-null value did not parse,0,0.0
FY1991-FY1999,GrossApproval less than or equal to zero,3,0.00089
FY1991-FY1999,GrossChargeOffAmount exceeds 150 percent of GrossApproval,83,0.024627
FY1991-FY1999,GrossChargeOffAmount exceeds GrossApproval,758,0.224904
FY1991-FY1999,GrossChargeOffAmount less than zero,0,0.0
FY1991-FY1999,InitialInterestRate above 100,0,0.0
FY1991-FY1999,InitialInterestRate above 25,0,0.0
FY1991-FY1999,InitialInterestRate below zero,0,0.0
FY1991-FY1999,InitialInterestRate equals zero,0,0.0
FY1991-FY1999,JobsSupported above 1000,1,0.000297
FY1991-FY1999,JobsSupported above 500,3,0.00089
FY1991-FY1999,JobsSupported below zero,0,0.0
FY1991-FY1999,JobsSupported is fractional,0,0.0
FY1991-FY1999,NAICS code has an unrecognised 2-digit sector,0,0.0
FY1991-FY1999,Non-CHGOFF status with ChargeOffDate,0,0.0
FY1991-FY1999,Non-CHGOFF status with positive GrossChargeOffAmount,0,0.0
FY1991-FY1999,Non-P I F status with PaidInFullDate,0,0.0
FY1991-FY1999,P I F status missing PaidInFullDate,0,0.0
FY1991-FY1999,PaidInFullDate after AsOfDate,0,0.0
FY1991-FY1999,PaidInFullDate before ApprovalDate,0,0.0
FY1991-FY1999,PaidInFullDate: non-null value did not parse,0,0.0
FY1991-FY1999,SBAGuaranteedApproval exceeds GrossApproval,1,0.000297
FY1991-FY1999,SBAGuaranteedApproval less than zero,1,0.000297
FY1991-FY1999,TermInMonths exceeds 360,64,0.018989
FY1991-FY1999,TermInMonths is fractional,0,0.0
FY1991-FY1999,TermInMonths less than or equal to zero,211,0.062605
FY2000-FY2009,ApprovalDate after AsOfDate,0,0.0
FY2000-FY2009,ApprovalDate: non-null value did not parse,0,0.0
FY2000-FY2009,ApprovalFY inconsistent with ApprovalDate fiscal year,0,0.0
FY2000-FY2009,AsOfDate: non-null value did not parse,0,0.0
FY2000-FY2009,Both PaidInFullDate and ChargeOffDate present,0,0.0
FY2000-FY2009,CHGOFF status missing ChargeOffDate,5,0.000724
FY2000-FY2009,CHGOFF status with zero or missing GrossChargeOffAmount,7,0.001014
FY2000-FY2009,ChargeOffDate after AsOfDate,0,0.0
FY2000-FY2009,ChargeOffDate before ApprovalDate,0,0.0
FY2000-FY2009,ChargeOffDate: non-null value did not parse,0,0.0
FY2000-FY2009,FirstDisbursementDate after AsOfDate,1,0.000145
FY2000-FY2009,FirstDisbursementDate before ApprovalDate,13,0.001883
FY2000-FY2009,FirstDisbursementDate: non-null value did not parse,0,0.0
FY2000-FY2009,GrossApproval less than or equal to zero,0,0.0
FY2000-FY2009,GrossChargeOffAmount exceeds 150 percent of GrossApproval,1572,0.227716
FY2000-FY2009,GrossChargeOffAmount exceeds GrossApproval,3736,0.541188
FY2000-FY2009,GrossChargeOffAmount less than zero,0,0.0
FY2000-FY2009,InitialInterestRate above 100,0,0.0
FY2000-FY2009,InitialInterestRate above 25,2,0.00029
FY2000-FY2009,InitialInterestRate below zero,0,0.0
FY2000-FY2009,InitialInterestRate equals zero,2,0.00029
FY2000-FY2009,JobsSupported above 1000,18,0.002607
FY2000-FY2009,JobsSupported above 500,79,0.011444
FY2000-FY2009,JobsSupported below zero,0,0.0
FY2000-FY2009,JobsSupported is fractional,0,0.0
FY2000-FY2009,NAICS code has an unrecognised 2-digit sector,0,0.0
FY2000-FY2009,Non-CHGOFF status with ChargeOffDate,0,0.0
FY2000-FY2009,Non-CHGOFF status with positive GrossChargeOffAmount,0,0.0
FY2000-FY2009,Non-P I F status with PaidInFullDate,0,0.0
FY2000-FY2009,P I F status missing PaidInFullDate,0,0.0
FY2000-FY2009,PaidInFullDate after AsOfDate,0,0.0
FY2000-FY2009,PaidInFullDate before ApprovalDate,2,0.00029
FY2000-FY2009,PaidInFullDate: non-null value did not parse,0,0.0
FY2000-FY2009,SBAGuaranteedApproval exceeds GrossApproval,0,0.0
FY2000-FY2009,SBAGuaranteedApproval less than zero,0,0.0
FY2000-FY2009,TermInMonths exceeds 360,12,0.001738
FY2000-FY2009,TermInMonths is fractional,0,0.0
