period,field,row_count,missing_count,missing_percent
FY1991-FY1999,ApprovalDate,337033,0,0.0
FY1991-FY1999,ApprovalFY,337033,0,0.0
FY1991-FY1999,AsOfDate,337033,0,0.0
FY1991-FY1999,BankCity,337033,2214,0.6569
FY1991-FY1999,BankFDICNumber,337033,44469,13.1943
FY1991-FY1999,BankNCUANumber,337033,335966,99.6834
FY1991-FY1999,BankName,337033,2213,0.6566
FY1991-FY1999,BankState,337033,2251,0.6679
FY1991-FY1999,BankStreet,337033,2217,0.6578
FY1991-FY1999,BankZip,337033,2225,0.6602
FY1991-FY1999,BorrCity,337033,2,0.0006
FY1991-FY1999,BorrName,337033,4,0.0012
FY1991-FY1999,BorrState,337033,0,0.0
FY1991-FY1999,BorrStreet,337033,90,0.0267
FY1991-FY1999,BorrZip,337033,0,0.0
FY1991-FY1999,BusinessAge,337033,7,0.0021
FY1991-FY1999,BusinessType,337033,3963,1.1758
FY1991-FY1999,ChargeOffDate,337033,301780,89.5402
FY1991-FY1999,CollateralInd,337033,18444,5.4725
FY1991-FY1999,CongressionalDistrict,337033,993,0.2946
FY1991-FY1999,FirstDisbursementDate,337033,43915,13.0299
FY1991-FY1999,FixedorVariableInterestInd,337033,337033,100.0
FY1991-FY1999,FranchiseCode,337033,315465,93.6006
FY1991-FY1999,FranchiseName,337033,315465,93.6006
FY1991-FY1999,GrossApproval,337033,0,0.0
FY1991-FY1999,GrossChargeOffAmount,337033,0,0.0
FY1991-FY1999,InitialInterestRate,337033,337033,100.0
FY1991-FY1999,JobsSupported,337033,0,0.0
FY1991-FY1999,LoanStatus,337033,0,0.0
FY1991-FY1999,LocationID,337033,2213,0.6566
FY1991-FY1999,NaicsCode,337033,184071,54.6151
FY1991-FY1999,NaicsDescription,337033,184071,54.6151
FY1991-FY1999,PaidInFullDate,337033,80817,23.979
FY1991-FY1999,ProcessingMethod,337033,0,0.0
FY1991-FY1999,Program,337033,0,0.0
FY1991-FY1999,ProjectCounty,337033,256,0.076
FY1991-FY1999,ProjectState,337033,0,0.0
FY1991-FY1999,RevolverStatus,337033,0,0.0
FY1991-FY1999,SBADistrictOffice,337033,0,0.0
FY1991-FY1999,SBAGuaranteedApproval,337033,0,0.0
FY1991-FY1999,SoldSecMrktInd,337033,234670,69.6282
FY1991-FY1999,TermInMonths,337033,0,0.0
FY2000-FY2009,ApprovalDate,690333,0,0.0
