design,split_role,start_fy,end_fy,loans,chargeoffs,prevalence_percent,latest_approval_date,fy2016_is_partial
FY2010+,fold1_train,2010,2012,124261,8616,6.933792581743266,2012-09-30,False
FY2010+,fold1_validate,2013,2013,40369,2255,5.585969431989893,2013-09-30,False
FY2010+,fold2_train,2010,2013,164630,10871,6.603292231063597,2013-09-30,False
FY2010+,fold2_validate,2014,2014,45888,2788,6.075662482566249,2014-09-30,False
FY2010+,final_refit,2010,2014,210518,13659,6.488281287110841,2014-09-30,False
FY2010+,locked_test,2015,2016,97439,6540,6.7118915424008865,2016-06-30,True
FY2001+,fold1_train,2001,2009,569495,129731,22.780006848172505,2009-09-30,False
FY2001+,fold1_validate,2010,2011,85436,6364,7.448850601619926,2011-09-30,False
FY2001+,fold2_train,2001,2011,654931,136095,20.780051639027622,2011-09-30,False
FY2001+,fold2_validate,2012,2014,125082,7295,5.832174093794471,2014-09-30,False
FY2001+,final_refit,2001,2014,780013,143390,18.383026949550842,2014-09-30,False
FY2001+,locked_test,2015,2016,97439,6540,6.7118915424008865,2016-06-30,True
