feature,value,mean_predicted_risk
gross_approval,10000.0,0.051044660278154776
gross_approval,15000.0,0.04914773474670657
gross_approval,38000.0,0.053279846219901825
gross_approval,114150.0,0.05506374551082492
gross_approval,350000.0,0.05832056906381722
gross_approval,1000000.0,0.059143065296590885
gross_approval,1698004.9999999984,0.05724617455494376
term_months,36.0,0.21651563642301772
term_months,60.0,0.08472567374233009
term_months,84.0,0.004343224420753112
term_months,120.0,0.0020214847758137046
term_months,300.0,0.004116774106161984
guarantee_percent,50.0,0.04379317229180074
guarantee_percent,75.0,0.06916393217658087
guarantee_percent,85.0,0.07063664791446052
initial_interest_rate,4.25,0.027463300534774457
initial_interest_rate,4.75,0.03382539432585611
initial_interest_rate,5.25,0.03881045894624214
initial_interest_rate,6.0,0.06432180455518532
initial_interest_rate,6.67,0.05489937657890148
initial_interest_rate,8.75,0.06802994514458278
initial_interest_rate,9.75,0.07158049181501336
