candidate_start_fy,dimension,segment,eligible_loans,chargeoffs_within_96_months,chargeoffs_within_120_months,risk_96_month_percent,risk_120_month_percent,additional_risk_96_to_120_pp,share_120_month_events_captured_by_96_percent
2001,overall,All eligible loans,878511,139683,150609,15.899972,17.143667,1.243695,92.745453
2001,term_band,241 to 360,76854,1920,2628,2.498243,3.419471,0.921227,73.059361
2001,term_band,121 to 180,42198,1860,2601,4.407792,6.163799,1.756007,71.510957
2001,term_band,13 to 60,216250,77487,81571,35.832139,37.720694,1.888555,94.993319
2001,term_band,61 to 84,330355,29350,30840,8.884382,9.335412,0.45103,95.168612
2001,term_band,85 to 120,146043,12998,14371,8.900118,9.840253,0.940134,90.446037
2001,term_band,181 to 240,32597,1874,2827,5.748995,8.672577,2.923582,66.289353
2001,term_band,1 to 12,33155,13596,15092,41.00739,45.519529,4.51214,90.087464
2001,term_band,Invalid or missing,1059,598,679,56.468366,64.117092,7.648725,88.070692
2010,overall,All eligible loans,308134,18482,20299,5.99804,6.587718,0.589679,91.04882
2010,term_band,85 to 120,64122,2951,3100,4.602165,4.834534,0.23237,95.193548
2010,term_band,241 to 360,39482,456,537,1.154957,1.360113,0.205157,84.916201
2010,term_band,13 to 60,58667,8584,9438,14.631735,16.087409,1.455674,90.951473
2010,term_band,61 to 84,110484,3743,3953,3.387821,3.577894,0.190073,94.687579
2010,term_band,181 to 240,11449,340,479,2.969692,4.183772,1.21408,70.981211
2010,term_band,121 to 180,16493,321,398,1.94628,2.413145,0.466865,80.653266
2010,term_band,1 to 12,7260,2002,2294,27.575758,31.597796,4.022039,87.271142
2010,term_band,Invalid or missing,177,85,100,48.022599,56.497175,8.474576,85.0
