candidate_start_fy,horizon_months,dimension,segment,eligible_loans,chargeoffs,valid_gross_amount_loans,gross_approval,sba_guaranteed_approval,chargeoff_loan_approval,gross_chargeoff_amount,flagged_financial_chargeoffs,sensitivity_gross_approval,sensitivity_chargeoff_loan_approval,sensitivity_gross_chargeoff_amount,chargeoff_rate_percent,ci95_low_percent,ci95_high_percent,passes_rate_reporting_rule,approval_weighted_chargeoff_incidence_percent,gross_chargeoff_rate_percent,chargeoff_severity_percent,sensitivity_gross_chargeoff_rate_percent,sensitivity_chargeoff_severity_percent,total_gross_approval,total_chargeoff_loan_approval,total_gross_chargeoff_amount,total_sensitivity_gross_chargeoff_amount,gross_approval_share_percent,chargeoff_loan_approval_share_percent,gross_chargeoff_amount_share_percent,sensitivity_gross_chargeoff_amount_share_percent,financial_anomaly_share_shift_pp
2001,120,loan_size_band,More than $1m,45746,3505,45746,80208492154.67,60941501964.33429,5552453229.0,3196068892.310001,47,80135247154.67,5479208229.0,3116039481.55,7.661872,7.42167,7.909184,True,6.922525,3.984701,57.561383,3.888476,56.870251,206223316725.65,21365606564.17,14162165844.38,13604006615.14,38.89399774389997,25.987809952053656,22.567656158173737,22.90530701508287,-0.3376508569091321
2001,120,loan_size_band,$350k to $1m,104920,10856,104920,62864893692.76,47867332985.61658,6363930019.0,4002699194.19,212,62745875704.76,6244912031.0,3875180786.95,10.346931,10.164088,10.532677,True,10.123186,6.367145,62.896656,6.175993,62.053409,206223316725.65,21365606564.17,14162165844.38,13604006615.14,30.483892263449803,29.785861683291852,28.263326656200675,28.485584405974066,-0.22225774977339086
2001,120,loan_size_band,Up to $50k,398050,88994,398050,10818506568.05,5985702307.1425,2438047882.0,2033260096.15,2631,10745378523.05,2364919837.0,1898068433.24,22.357493,22.228328,22.487191,True,22.535901,18.794277,83.397053,17.664044,80.259314,206223316725.65,21365606564.17,14162165844.38,13604006615.14,5.2460152129365865,11.411086667151274,14.356985495667407,13.952275141704398,0.4047103539630097
2001,120,loan_size_band,$50k to $150k,203959,31877,203959,20995101745.42,14170825064.221498,3231655618.17,2356211215.86,700,20925448315.42,3162002188.17,2261590782.58,15.629122,15.472175,15.787363,True,15.392427,11.222671,72.910344,10.807849,71.524011,206223316725.65,21365606564.17,14162165844.38,13604006615.14,10.180760390616214,15.125503731728676,16.637364946513603,16.62444636025874,0.012918586254862419
2001,120,loan_size_band,$150k to $350k,125836,15377,125836,31336322564.75,21827801034.6615,3779519816.0,2573926445.87,441,31229462194.75,3672659446.0,2453127130.82,12.219873,12.040068,12.401985,True,12.061147,8.213875,68.101943,7.855169,66.794299,206223316725.65,21365606564.17,14162165844.38,13604006615.14,15.195334389097427,17.68973796577455,18.174666743444586,18.032387076979933,0.14227966646465262
2001,120,term_band,241 to 360,76854,2628,76854,69370606101.0,52593575151.52889,2329138357.0,1251167091.86,68,69326736099.0,2285268355.0,1206053190.18,3.419471,3.2933,3.550298,True,3.357529,1.803598,53.718024,1.739665,52.775123,206223316725.65,21365606564.17,14162165844.38,13604006615.14,33.63858520095837,10.901344410722006,8.834574496643837,8.865426372534799,-0.030851875890961722
2001,120,term_band,121 to 180,42198,2601,42198,17633169846.760002,13245794705.68726,1360210830.0,794393243.45,64,17610385961.760002,1337426945.0,769251493.3,6.163799,5.938303,6.397276,True,7.713933,4.505107,58.402214,4.368169,57.517272,206223316725.65,21365606564.17,14162165844.38,13604006615.14,8.550521893806199,6.366357191473637,5.609263810204854,5.654595113500565,-0.04533130329571122
2001,120,term_band,13 to 60,216250,81571,216250,18599112330.8,12073261482.102,6289552383.17,4298306093.249999,2194,18480955888.8,6171395941.17,4116956637.05,37.720694,37.516631,37.925193,True,33.816412,23.110275,68.340413,22.276752,66.710298,206223316725.65,21365606564.17,14162165844.38,13604006615.14,9.01891824169592,29.437743151732203,30.35062673662803,30.26282442753452,0.08780230909350806
2001,120,term_band,61 to 84,330355,30840,330355,29115035711.0,18997949446.32408,3929384929.0,2826367229.86,438,29061459542.0,3875808760.0,2763197932.07,9.335412,9.236677,9.435093,True,13.496068,9.707586,71.928999,9.508118,71.293454,206223316725.65,21365606564.17,14162165844.38,13604006615.14,14.11820747201603,18.391169551860777,19.95716799900061,20.311647959615197,-0.35447996061458653
2001,120,term_band,85 to 120,146043,14371,146043,46379836052.42,35152652903.8312,4205942645.0,3183101088.11,482,46247473142.42,4073579735.0,3037265806.67,9.840253,9.688545,9.994073,True,9.068472,6.863114,75.681039,6.56742,74.560117,206223316725.65,21365606564.17,14162165844.38,13604006615.14,22.490102859766143,19.68557565809221,22.476089625607347,22.326259407208788,0.14983021839855937
2001,120,term_band,181 to 240,32597,2827,32597,19046170449.010002,14276450016.286932,2060541500.0,1079487077.14,59,19013982224.010002,2028353275.0,1044495404.34,8.672577,8.37191,8.982984,True,10.818666,5.667738,52.388514,5.493302,51.494748,206223316725.65,21365606564.17,14162165844.38,13604006615.14,9.235701738978502,9.644198463597643,7.62233043308397,7.677851341071632,-0.055520907987661516
2001,120,term_band,1 to 12,33155,15092,33155,5955023209.66,4367386760.966,1133591845.0,692993307.39,699,5917280009.66,1095848645.0,632147220.79,45.519529,44.984045,46.056052,True,19.035893,11.637122,61.132524,10.683071,57.685632,206223316725.65,21365606564.17,14162165844.38,13604006615.14,2.887657566667056,5.305685291898182,4.893272081438037,4.646772371357705,0.24649971008033233
2001,120,term_band,Invalid or missing,1059,679,1059,124363025.0,86092889.25,57244075.0,36350713.32,27,123139025.0,56020075.0,34638930.74,64.117092,61.181953,66.950183,True,46.029819,29.229518,63.501268,28.129937,61.833067,206223316725.65,21365606564.17,14162165844.38,13604006615.14,0.06030502611178873,0.2679262806233547,0.25667481739330944,0.25462300717679803,0.002051810216511407
