approval_fy,loan_count,valid_gross_amount_loans,gross_approval
1991,18439,18439,4331245692.01
1992,23652,23652,5880068292.01
1993,26288,26288,6690470672.49
1994,36041,36040,8141747991.950001
1995,55544,55543,8252830073.639999
1996,45846,45846,7693776736.34
1997,45274,45274,9459197841.2
1998,42248,42248,9013090155.09
1999,43588,43587,10129885663.11
2000,43745,43745,10522998938.0
2001,42949,42949,9893079393.48
2002,51659,51659,12206208274.9
2003,67276,67276,11264699531.0
2004,81117,81117,13569158191.0
2005,95870,95870,15218547486.01
2006,97265,97265,14522009839.0
2007,99548,99548,14284435713.33
2008,69391,69391,12665895390.27
2009,41235,41235,9183017839.119999
2010,46841,46841,12344941700.0
2011,53479,53479,19527780000.0
2012,44208,44208,15072019700.0
2013,46235,46235,17758860700.0
2014,51963,51963,19148110500.0
2015,63361,63361,23501530400.0
2016,63997,63997,24082652943.0
2017,62360,62360,25413324050.0
2018,60307,60307,25357568100.0
2019,51864,51864,23168069200.0
2020,42205,42205,22530761300.0
2021,51758,51758,36490772800.0
2022,47625,47625,25678130200.0
2023,57324,57324,27500401100.0
2024,70209,70209,31121143700.0
2025,78025,78025,37280032700.0
2026,40801,40801,21836501118.0
