candidate_start_fy,horizon_months,dimension,segment,eligible_loans,chargeoffs,valid_gross_amount_loans,gross_approval,sba_guaranteed_approval,chargeoff_loan_approval,gross_chargeoff_amount,flagged_financial_chargeoffs,sensitivity_gross_approval,sensitivity_chargeoff_loan_approval,sensitivity_gross_chargeoff_amount,chargeoff_rate_percent,ci95_low_percent,ci95_high_percent,passes_rate_reporting_rule,approval_weighted_chargeoff_incidence_percent,gross_chargeoff_rate_percent,chargeoff_severity_percent,sensitivity_gross_chargeoff_rate_percent,sensitivity_chargeoff_severity_percent
2001,96,loan_size_band,More than $1m,58149,2732,58149,106724063354.67,80901903793.4643,4456631985.0,2600522706.41,38,106663200454.67,4395769085.0,2533520979.58,4.698275,4.52926,4.873275,True,4.175845,2.436679,58.351749,2.375253,57.635443
2001,96,loan_size_band,$350k to $1m,121651,8781,121651,73137897192.76001,55589423947.90657,5121618203.0,3311716899.959999,174,73040937124.76001,5024658135.0,3206792890.73,7.21819,7.074113,7.364969,True,7.002687,4.528045,64.661534,4.390405,63.821116
2001,96,loan_size_band,Up to $50k,432511,89872,432511,11789752768.05,6501308949.6425,2457857177.0,2057935925.35,2654,11715430668.05,2383535077.0,1923408091.59,20.779125,20.658469,20.9003,True,20.847402,17.455293,83.728865,16.417733,80.695607
2001,96,loan_size_band,$50k to $150k,232609,32211,232609,24080827845.42,16261529788.781498,3280058153.17,2442315985.44,696,24011692355.42,3210922663.17,2349714863.8,13.847702,13.707934,13.988663,True,13.621036,10.14216,74.459533,9.785711,73.178806
2001,96,loan_size_band,$150k to $350k,144677,14090,144677,36310850764.75,25219818108.3615,3480028130.0,2447156079.1,426,36207473852.75,3376651218.0,2329212259.63,9.738936,9.587227,9.892782,True,9.58399,6.739462,70.320009,6.43296,68.979948
2001,96,term_band,241 to 360,92747,2047,92747,90227296501.0,68218324835.8889,1862902175.0,950376796.61,43,90200107599.0,1835713273.0,922570472.84,2.207079,2.11449,2.303628,True,2.064677,1.053314,51.015926,1.022804,50.256785
2001,96,term_band,121 to 180,48585,1944,48585,21262336746.760002,15946027098.88726,963741484.0,569305898.37,46,21246710661.760002,948115399.0,552005987.7,4.001235,3.830569,4.179174,True,4.532623,2.677532,59.07247,2.598077,58.221392
2001,96,term_band,13 to 60,233662,80669,233662,20595449430.8,13389235505.901999,5721943148.17,4062009163.88,2211,20479907808.8,5606401526.17,3886052121.37,34.523799,34.331278,34.716829,True,27.78256,19.722848,70.99003,18.974949,69.314552
2001,96,term_band,61 to 84,362722,30981,362722,32461329611.0,21061914471.32408,3699567362.0,2712817866.63,453,32402998642.0,3641236393.0,2643886784.99,8.541252,8.450734,8.632648,True,11.396845,8.357076,73.327976,8.159389,72.609589
2001,96,term_band,85 to 120,180034,15089,180034,59161673052.42,44689684260.9012,4176244104.0,3217797178.58,490,59032491385.42,4047062437.0,3073362856.92,8.381195,8.254079,8.510086,True,7.059037,5.438989,77.050026,5.206223,75.940584
2001,96,term_band,181 to 240,35688,1928,35688,21420240349.010002,16037948045.036932,1337592678.0,682836755.39,38,21399494324.010002,1316846653.0,660386741.88,5.402376,5.172598,5.641754,True,6.244527,3.187811,51.049678,3.085992,50.1491
2001,96,term_band,1 to 12,35049,14394,35049,6779798109.66,5037238330.966,984552922.0,631015109.21,678,6743054909.66,947809722.0,572687055.38,41.068219,40.554188,41.584207,True,14.521862,9.307285,64.091538,8.492991,60.422155
2001,96,term_band,Invalid or missing,1110,634,1110,135268125.0,93612039.25,49649775.0,33488827.59,29,133969125.0,48350775.0,31697064.25,57.117117,54.186027,59.999116,True,36.704711,24.757368,67.450109,23.659977,65.556476
