candidate_start_fy,horizon_months,approval_fy,eligible_loans,chargeoffs,valid_gross_amount_loans,gross_approval,sba_guaranteed_approval,chargeoff_loan_approval,gross_chargeoff_amount,flagged_financial_chargeoffs,sensitivity_gross_approval,sensitivity_chargeoff_loan_approval,sensitivity_gross_chargeoff_amount,chargeoff_rate_percent,ci95_low_percent,ci95_high_percent,passes_rate_reporting_rule,approval_weighted_chargeoff_incidence_percent,gross_chargeoff_rate_percent,chargeoff_severity_percent,sensitivity_gross_chargeoff_rate_percent,sensitivity_chargeoff_severity_percent
2001,96,2001,37320,4338,37320,8549914826.48,6233679768.4689,858228350.17,518651865.0,118,8533702815.48,842016339.17,501092105.37,11.623794,11.30256,11.952928,True,10.037858,6.066164,60.432852,5.871919,59.510972
2001,96,2002,45184,4645,45184,10567876861.9,7697091734.464479,777839811.0,459806265.6,101,10559857167.9,769820117.0,449868446.85,10.280188,10.003528,10.5636,True,7.360417,4.350981,59.113234,4.260175,58.438126
2001,120,2001,37320,4761,37320,8549914826.48,6233679768.4689,989767136.17,586208797.13,129,8530460815.48,970313125.17,565050918.16,12.757235,12.422593,13.099542,True,11.576339,6.856312,59.226941,6.62392,58.233874
2001,120,2002,45184,5182,45184,10567876861.9,7697091734.464479,917692189.0,530213702.5,131,10557946867.9,907762195.0,517135081.27,11.468661,11.178125,11.765749,True,8.68379,5.017221,57.776857,4.898065,56.968123
2001,96,2003,59108,7636,59108,9687973559.0,6963788689.7992,720965524.0,449119951.9,261,9674186959.0,707178924.0,428710925.39,12.918725,12.650739,13.191531,True,7.441861,4.63585,62.294234,4.431493,60.622695
2001,120,2003,59108,8102,59108,9687973559.0,6963788689.7992,819186590.0,499063184.28,285,9672120059.0,803333090.0,475880521.36,13.707112,13.432211,13.986731,True,8.455706,5.151368,60.921796,4.920126,59.238257
2001,96,2004,71281,11209,71281,11770525676.0,8341267175.602,1021948951.0,658227119.11,389,11752132714.0,1003555989.0,629429610.34,15.725088,15.459693,15.994178,True,8.682271,5.592164,64.409002,5.355876,62.71993
2001,96,2005,84423,17704,84423,13206749776.01,9247684170.967793,1556868131.0,1079394047.97,653,13172375941.01,1522494296.0,1027913029.85,20.970589,20.697302,21.246517,True,11.788428,8.173048,69.331116,7.803551,67.515066
2001,120,2004,71281,11802,71281,11770525676.0,8341267175.602,1159772675.0,732257622.95,414,11748353214.0,1137600213.0,698790967.99,16.557007,16.285946,16.831672,True,9.853194,6.221112,63.13803,5.947991,61.426761
2001,120,2005,84423,18983,84423,13206749776.01,9247684170.967793,1923757700.0,1294702943.07,699,13165510141.01,1882518065.0,1234705431.42,22.485579,22.205216,22.768445,True,14.566473,9.803343,67.300728,9.378333,65.587973
