factor,scenario_value,reference_value,mix_adjusted_risk_percent,adjusted_risk_difference_vs_reference_pp,adjusted_risk_difference_ci95_low_pp,adjusted_risk_difference_ci95_high_pp,p_value_adjusted_contrast,target
gross_approval,16000.0,113700.0,5.93295769,-0.93081722,-1.21261824,-0.6490162,0.0,target_120
gross_approval,35000.0,113700.0,5.32652633,-1.53724859,-1.78266872,-1.29182845,0.0,target_120
gross_approval,113700.0,113700.0,6.86377491,0.0,0.0,0.0,,target_120
gross_approval,350000.0,113700.0,7.67473963,0.81096472,0.44019293,1.1817365,1.812e-05,target_120
gross_approval,965000.0,113700.0,8.23571511,1.3719402,0.87771989,1.86616051,5e-08,target_120
term_months,12.0,84.0,50.08344049,45.10085953,44.18771836,46.0140007,0.0,target_120
term_months,60.0,84.0,17.87093151,12.88835055,12.40499789,13.37170322,0.0,target_120
term_months,84.0,84.0,4.98258096,0.0,0.0,0.0,,target_120
term_months,120.0,84.0,1.28762603,-3.69495493,-3.88916813,-3.50074173,0.0,target_120
term_months,180.0,84.0,2.16213578,-2.82044518,-3.12285043,-2.51803993,0.0,target_120
term_months,240.0,84.0,4.68182504,-0.30075591,-0.6863555,0.08484367,0.12633583,target_120
guarantee_percent,50.0,75.0,5.19816099,-3.53144327,-5.04176229,-2.02112425,4.59e-06,target_120
guarantee_percent,75.0,75.0,8.72960426,0.0,0.0,0.0,,target_120
guarantee_percent,85.0,75.0,8.77998348,0.05037922,-0.39965094,0.50040937,0.8263301,target_120
initial_interest_rate,4.75,6.0,2.50429989,-4.71202486,-4.91799321,-4.5060565,0.0,target_120
initial_interest_rate,5.25,6.0,3.43958713,-3.77673762,-3.98325156,-3.57022367,0.0,target_120
initial_interest_rate,6.0,6.0,7.21632475,0.0,0.0,0.0,,target_120
initial_interest_rate,6.9,6.0,8.83080298,1.61447823,1.34274654,1.88620991,0.0,target_120
initial_interest_rate,8.25,6.0,11.87314279,4.65681803,4.24197417,5.0716619,0.0,target_120
