check,actual,expected,tolerance,passed
E06 PR-AUC,0.6563126262700382,0.6563126262700382,1e-08,True
E06 ROC-AUC,0.9638243859594408,0.9638243859594409,1e-08,True
E06 Brier,0.0333472044691444,0.03334720446914445,1e-08,True
E06 event rate,0.0671189154240088,0.06711891542400887,1e-08,True
E06 mean prediction,0.0585214209551366,0.0585214209551366,1e-08,True
Top 5% capture,52.55351681957187,52.55351681957187,1e-08,True
Top 10% capture,82.30886850152905,82.30886850152905,1e-08,True
Top 20% capture,95.73394495412845,95.73394495412843,1e-08,True
Reported financial ratio,2.816299,2.816299,1e-06,True
Sensitivity financial ratio,2.68848,2.68848,1e-06,True
FY2007 ten-year rate,35.777977,35.777977,1e-06,True
Suppressed state rates exposed,0.0,0.0,1e-08,True
Forbidden identifier columns,0.0,0.0,1e-08,True
