project_state,eligible_loans,chargeoffs,gross_approval,gross_approval_share_percent,display_chargeoff_rate_percent,display_ci95_low_percent,display_ci95_high_percent,risk_display_allowed,mix_adjusted_risk_percent,adjusted_risk_difference_vs_reference_pp,adjusted_risk_difference_ci95_low_pp,adjusted_risk_difference_ci95_high_pp,vintages_passing_500_25,model_test_loans,chargeoffs_model_test,prevalence,mean_predicted_risk,brier,calibration_intercept,calibration_slope,model_calibration_available
TX,23748,1979,1.02738551e+10,9.524060288,8.333333,7.988516,8.691628,True,7.73847404,0.2959969,-0.09465268,0.68664649,7,7632,704,0.09224318658,0.07487048367,0.04434788473,0.405979581,0.9530595741,True
FL,12962,1169,5755005400,5.335000139,9.01867,8.537608,9.524016,True,9.4901975,2.04772035,1.50875152,2.58668919,7,4869,449,0.09221606079,0.08042608362,0.03938992837,0.3051209645,0.9816485064,True
MI,11728,590,3466042200,3.213087449,5.030696,4.649624,5.441216,True,6.53378658,-0.90869056,-1.43444575,-0.38293538,7,3804,206,0.05415352261,0.04387623153,0.02851815918,0.6174849106,1.156809448,True
NY,19186,1280,4725981800,4.381075569,6.671531,6.327052,7.033358,True,6.47505813,-0.96741901,-1.37318547,-0.56165255,7,6086,402,0.06605323694,0.05618198952,0.03535368108,0.3086571654,0.9918000468,True
WI,9258,502,3101645900,2.875285105,5.422337,4.979259,5.902395,True,6.11055738,-1.33191976,-1.87742507,-0.78641444,7,2425,133,0.05484536082,0.05145246223,0.03216332056,0.2011371863,1.06455606,True
MN,9187,489,2687778200,2.491621827,5.322739,4.882087,5.800737,True,4.55973592,-2.88274122,-3.33707932,-2.42840312,7,2595,136,0.05240847784,0.04517688749,0.02850853895,0.4512326995,1.1279472,True
UT,6925,374,1778563400,1.648762308,5.400722,4.892659,5.958238,True,4.8751665,-2.56731064,-3.07284814,-2.06177314,7,1818,96,0.05280528053,0.04855545892,0.02631674112,0.2478408547,1.066800569,True
ME,2109,94,342716500,0.317704754,4.457089,3.656092,5.423692,True,4.16234142,-3.28013572,-4.12078489,-2.43948655,0,,,,,,,,False
MA,11093,547,1616593400,1.498613018,4.931038,4.543493,5.349785,True,4.87304763,-2.56942951,-3.0063083,-2.13255072,7,3816,236,0.06184486373,0.048148127,0.02654203457,0.8541220865,1.219303203,True
PA,9416,559,3035976500,2.814408315,5.936703,5.477125,6.43222,True,6.14831043,-1.29416671,-1.81523192,-0.7731015,7,2979,171,0.05740181269,0.04961951587,0.03160204355,0.3558121488,1.071735469,True
CA,38431,2413,1.78711335e+10,16.56688275,6.278785,6.040599,6.525712,True,7.44247714,0,0,0,7,13375,951,0.07110280374,0.06269865341,0.02956829345,0.3436812695,1.060844606,True
AL,2261,191,982763600,0.9110406643,8.44759,7.370572,9.665564,True,7.19984171,-0.24263543,-1.18382349,0.69855263,0,763,63,0.08256880734,0.07096244065,0.04067077942,0.3559737218,1.039988374,True
AZ,6324,400,2701182100,2.504047499,6.325111,5.751295,6.951954,True,8.25264704,0.8101699,0.09360968,1.52673012,7,1971,123,0.06240487062,0.04811467042,0.03412200778,0.5267541067,0.9909387868,True
CO,7473,411,2828471800,2.622047487,5.499799,5.005409,6.039916,True,6.34889071,-1.09358643,-1.68531058,-0.50186228,7,2537,141,0.05557745369,0.04986443555,0.02648270513,0.3683878459,1.134909942,True
ID,3002,118,738848000,0.6849262353,3.930713,3.292406,4.686773,True,4.44306691,-2.99941023,-3.75847019,-2.24035027,0,893,34,0.03807390817,0.03085006345,0.02188117401,0.857687248,1.287136495,True
OH,17217,1068,3641385600,3.375634136,6.203171,5.852544,6.573338,True,8.20985878,0.76738163,0.28137612,1.25338715,7,5505,359,0.06521344233,0.05736951708,0.02944143404,0.3397904478,1.051578523,True
GA,8358,596,5495497600,5.094431442,7.130893,6.59866,7.702513,True,8.94783288,1.50535574,0.83751616,2.17319531,7,2894,194,0.06703524534,0.06467273647,0.03146212164,0.1699052512,1.09442246,True
VT,1430,72,230926700,0.2140734701,5.034965,4.017219,6.293646,True,4.01890805,-3.42356909,-4.33169216,-2.51544602,0,,,,,,,,False
