comparison_type,factor,comparison_value,reference_category,scenario_value,eligible_loans,chargeoffs,pooled_risk_percent,pooled_ci95_low_percent,pooled_ci95_high_percent,vintage_standardized_risk_percent,mix_adjusted_risk_percent,adjusted_risk_difference_vs_reference_pp,adjusted_risk_difference_ci95_low_pp,adjusted_risk_difference_ci95_high_pp,vintages_passing_500_25,fdr_q_value
Observed versus adjusted,Two-digit NAICS,72,72,,38650,2964,7.66882277,7.40772501,7.93833436,7.72985257,8.18007071,0,0,0,7,
Observed versus adjusted,Two-digit NAICS,11,72,,5515,252,4.5693563,4.04914315,5.15281459,4.50594452,3.15394949,-5.02612122,-5.51114321,-4.54109923,6,0
Observed versus adjusted,Two-digit NAICS,21,72,,936,64,6.83760684,5.39082097,8.63723212,6.6583318,3.85757687,-4.32249384,-5.29337206,-3.35161562,0,0
Observed versus adjusted,Two-digit NAICS,23,72,,30974,2136,6.89610641,6.61923253,7.18367063,6.9177732,6.63434286,-1.54572785,-1.90509285,-1.18636285,7,0
Observed versus adjusted,Two-digit NAICS,31,72,,6352,412,6.4861461,5.90640449,7.11848709,6.53535718,6.1122202,-2.06785051,-2.65594651,-1.47975451,7,0
Observed versus adjusted,Two-digit NAICS,32,72,,6205,373,6.01128122,5.44663079,6.63036399,5.94160451,5.85386711,-2.3262036,-2.93142918,-1.72097803,7,0
Observed versus adjusted,Two-digit NAICS,33,72,,13361,775,5.80046404,5.41666669,6.20966995,5.80845604,5.4435749,-2.73649581,-3.18822051,-2.28477111,7,0
Observed versus adjusted,Two-digit NAICS,42,72,,17369,1312,7.5536876,7.17001149,7.95613505,7.58390953,6.25970018,-1.92037053,-2.34658672,-1.49415434,7,0
Observed versus adjusted,Two-digit NAICS,44,72,,31869,2334,7.32373153,7.04281423,7.61493589,7.29626326,7.98716853,-0.19290218,-0.56736358,0.18155923,7,0.31265486
Observed versus adjusted,Two-digit NAICS,45,72,,11927,1059,8.879014,8.38169,9.40281804,8.73857521,7.88129793,-0.29877278,-0.77826793,0.18072237,7,0.23309058
Observed versus adjusted,Two-digit NAICS,48,72,,13693,1053,7.69006061,7.25557188,8.14828211,7.43312472,6.28577451,-1.8942962,-2.31376622,-1.47482618,7,0
Observed versus adjusted,Two-digit NAICS,49,72,,968,64,6.61157025,5.21144341,8.35470543,6.48448622,6.28444633,-1.89562438,-3.24288909,-0.54835967,0,0.00643364
Observed versus adjusted,Two-digit NAICS,51,72,,3927,243,6.18792972,5.47633468,6.98515642,6.19608473,5.52866904,-2.65140167,-3.32490859,-1.97789475,5,0
Observed versus adjusted,Two-digit NAICS,52,72,,4834,175,3.62019032,3.12937341,4.18466244,3.58938529,4.61475393,-3.56531678,-4.20397104,-2.92666252,4,0
Observed versus adjusted,Two-digit NAICS,53,72,,6607,273,4.13198123,3.6781217,4.63914717,4.13299406,5.01572956,-3.16434115,-3.74859709,-2.58008522,6,0
Observed versus adjusted,Two-digit NAICS,54,72,,31637,1840,5.81597497,5.56339974,6.0792788,5.80532586,6.08286245,-2.09720827,-2.45039739,-1.74401914,7,0
Observed versus adjusted,Two-digit NAICS,56,72,,13797,897,6.50141335,6.10200227,6.92504006,6.47172746,5.98079428,-2.19927643,-2.62551156,-1.77304131,7,0
Observed versus adjusted,Two-digit NAICS,61,72,,4019,254,6.31998009,5.60862964,7.11475169,6.32848587,5.94938774,-2.23068297,-2.92712724,-1.53423871,6,0
Observed versus adjusted,Two-digit NAICS,62,72,,30034,1293,4.30512086,4.08135431,4.54057501,4.27816744,5.49853088,-2.68153983,-3.03996447,-2.32311519,7,0
Observed versus adjusted,Two-digit NAICS,71,72,,7866,638,8.11085685,7.5278002,8.7348077,8.10657824,7.28948194,-0.89058877,-1.43700072,-0.34417682,7,0.0016341
Observed versus adjusted,Two-digit NAICS,81,72,,26948,1764,6.54594033,6.25678555,6.84748217,6.53963173,6.95690715,-1.22316356,-1.59675447,-0.84957265,7,0
Observed versus adjusted,Two-digit NAICS,Other or thin,72,,469,24,5.11727079,3.462603,7.50121116,5.02484995,5.03056232,-3.14950839,-4.9571096,-1.34190718,0,0.00078795
Observed versus adjusted,ProjectState,CA,CA,,38412,2401,6.25065084,6.01291683,6.49713443,6.29479223,7.44247714,0,0,0,7,
Observed versus adjusted,ProjectState,AK,CA,,753,47,6.24169987,4.72608647,8.20151649,6.19978347,5.7547209,-1.68775624,-3.25229052,-0.12322197,0,0.04628533
Observed versus adjusted,ProjectState,AL,CA,,2259,190,8.41080124,7.33565914,9.62714916,8.35720108,7.19984171,-0.24263543,-1.18382349,0.69855263,0,0.66556873
Observed versus adjusted,ProjectState,AR,CA,,1711,133,7.77323203,6.59704067,9.13860985,7.57446266,6.52919354,-0.9132836,-1.96098231,0.13441511,0,0.1116159
Observed versus adjusted,ProjectState,AZ,CA,,6321,399,6.31229236,5.73892034,6.93873276,6.30405308,8.25264704,0.8101699,0.09360968,1.52673012,7,0.03679015
Observed versus adjusted,ProjectState,CO,CA,,7471,410,5.48788649,4.99396593,6.02755825,5.4893689,6.34889071,-1.09358643,-1.68531058,-0.50186228,7,0.00053189
Observed versus adjusted,ProjectState,CT,CA,,3319,205,6.1765592,5.40714925,7.04729566,6.11750783,6.77803692,-0.66444022,-1.49792235,0.16904191,2,0.14700523
Observed versus adjusted,ProjectState,DE,CA,,797,59,7.40276035,5.78230963,9.43187009,7.9969374,7.20558198,-0.23689516,-1.7757958,1.30200548,0,0.77812845
Observed versus adjusted,ProjectState,FL,CA,,12954,1166,9.00108075,8.520312,9.50615843,9.02482948,9.4901975,2.04772035,1.50875152,2.58668919,7,0
Observed versus adjusted,ProjectState,GA,CA,,8352,595,7.12404215,6.59187311,7.69563419,7.17964707,8.94783288,1.50535574,0.83751616,2.17319531,7,2.033e-05
Observed versus adjusted,ProjectState,HI,CA,,2103,127,6.03899192,5.09883627,7.13945806,5.7564617,3.65503971,-3.78743743,-4.40539025,-3.16948461,1,0
Observed versus adjusted,ProjectState,IA,CA,,2767,220,7.9508493,7.00016002,9.01813137,7.66651268,5.79799169,-1.64448545,-2.39738856,-0.89158233,2,3.651e-05
Observed versus adjusted,ProjectState,ID,CA,,3000,117,3.9,3.26413452,4.65377533,3.84249111,4.44306691,-2.99941023,-3.75847019,-2.24035027,0,0
Observed versus adjusted,ProjectState,IL,CA,,10072,834,8.28038125,7.75795112,8.83462297,8.27273396,8.3902788,0.94780166,0.38904726,1.50655607,7,0.00145651
Observed versus adjusted,ProjectState,IN,CA,,6953,467,6.71652524,6.15175155,7.32909984,6.71812204,6.68869646,-0.75378068,-1.34407659,-0.16348478,7,0.01745628
Observed versus adjusted,ProjectState,KS,CA,,2729,193,7.07218761,6.16948864,8.09557081,6.94751079,5.0815577,-2.36091944,-3.06533732,-1.65650155,0,0
Observed versus adjusted,ProjectState,KY,CA,,2990,224,7.4916388,6.60160409,8.49076019,7.33584866,7.36970424,-0.0727729,-0.96114566,0.81559987,2,0.87244428
Observed versus adjusted,ProjectState,LA,CA,,2652,215,8.10708899,7.12786132,9.20750604,8.09092486,6.04907118,-1.39340596,-2.21182026,-0.57499167,1,0.00143984
Observed versus adjusted,ProjectState,MA,CA,,11086,542,4.88904925,4.50303093,5.30631993,4.81790781,4.87304763,-2.56942951,-3.0063083,-2.13255072,7,0
Observed versus adjusted,ProjectState,MD,CA,,4163,298,7.1582993,6.41405334,7.98153778,7.16626813,6.74262258,-0.69985456,-1.41616737,0.01645824,6,0.07257859
Observed versus adjusted,ProjectState,ME,CA,,2108,93,4.41176471,3.61493104,5.37444921,4.27170564,4.16234142,-3.28013572,-4.12078489,-2.43948655,0,0
