approval_fy,loan_count,valid_gross_amount_loans,gross_approval,eligible_loans,chargeoffs,chargeoff_rate_percent,ci95_low_percent,ci95_high_percent,passes_rate_reporting_rule,approval_weighted_chargeoff_incidence_percent,gross_chargeoff_rate_percent,sensitivity_gross_chargeoff_rate_percent,complete_120_month_window,partial_fiscal_year,risk_display_allowed
1991,18439,18439,4331245692,,,,,,,,,,False,False,False
1992,23652,23652,5880068292,,,,,,,,,,False,False,False
1993,26288,26288,6690470672,,,,,,,,,,False,False,False
1994,36041,36040,8141747992,,,,,,,,,,False,False,False
1995,55544,55543,8252830074,,,,,,,,,,False,False,False
1996,45846,45846,7693776736,,,,,,,,,,False,False,False
1997,45274,45274,9459197841,,,,,,,,,,False,False,False
1998,42248,42248,9013090155,,,,,,,,,,False,False,False
1999,43588,43587,1.012988566e+10,,,,,,,,,,False,False,False
2000,43745,43745,1.052299894e+10,,,,,,,,,,False,False,False
2001,42949,42949,9893079393,37320,4761,12.757235,12.422593,13.099542,True,11.576339,6.856312,6.62392,True,False,True
2002,51659,51659,1.220620827e+10,45184,5182,11.468661,11.178125,11.765749,True,8.68379,5.017221,4.898065,True,False,True
2003,67276,67276,1.126469953e+10,59108,8102,13.707112,13.432211,13.986731,True,8.455706,5.151368,4.920126,True,False,True
2004,81117,81117,1.356915819e+10,71281,11802,16.557007,16.285946,16.831672,True,9.853194,6.221112,5.947991,True,False,True
2005,95870,95870,1.521854749e+10,84423,18983,22.485579,22.205216,22.768445,True,14.566473,9.803343,9.378333,True,False,True
2006,97265,97265,1.452200984e+10,86564,26672,30.811885,30.505165,31.120308,True,24.494275,17.343543,16.732854,True,False,True
2007,99548,99548,1.428443571e+10,88261,31578,35.777977,35.462364,36.094827,True,30.02169,22.038495,21.347818,True,False,True
2008,69391,69391,1.266589539e+10,61607,18091,29.36517,29.006833,29.72608,True,24.102764,17.124332,16.736066,True,False,True
2009,41235,41235,9183017839,36629,5139,14.029867,13.677977,14.389301,True,11.718319,7.340171,7.103302,True,False,True
2010,46841,46841,1.23449417e+10,39908,3486,8.735091,8.462032,9.016093,True,7.140753,4.321322,4.17472,True,False,True
2011,53479,53479,1.952778e+10,45586,2910,6.383539,6.162785,6.611643,True,5.050998,2.874574,2.739669,True,False,True
2012,44208,44208,1.50720197e+10,38854,2270,5.842384,5.613507,6.079992,True,4.342395,2.580591,2.474934,True,False,True
2013,46235,46235,1.77588607e+10,40385,2263,5.603566,5.38345,5.832127,True,4.007836,2.304125,2.206015,True,False,True
2014,51963,51963,1.91481105e+10,45907,2796,6.090574,5.875454,6.313042,True,4.120491,2.52956,2.407265,True,False,True
2015,63361,63361,2.35015304e+10,55370,3660,6.610078,6.406124,6.820052,True,4.55967,2.863279,2.704379,True,False,True
2016,63997,63997,2.408265294e+10,42124,2914,6.917672,6.679255,7.163945,True,4.26413,2.729071,2.607676,True,False,True
2017,62360,62360,2.541332405e+10,,,,,,,,,,False,False,False
2018,60307,60307,2.53575681e+10,,,,,,,,,,False,False,False
2019,51864,51864,2.31680692e+10,,,,,,,,,,False,False,False
2020,42205,42205,2.25307613e+10,,,,,,,,,,False,False,False
2021,51758,51758,3.64907728e+10,,,,,,,,,,False,False,False
2022,47625,47625,2.56781302e+10,,,,,,,,,,False,False,False
2023,57324,57324,2.75004011e+10,,,,,,,,,,False,False,False
2024,70209,70209,3.11211437e+10,,,,,,,,,,False,False,False
2025,78025,78025,3.72800327e+10,,,,,,,,,,False,False,False
2026,40801,40801,2.183650112e+10,,,,,,,,,,False,True,False
