dimension,segment,eligible_loans,chargeoffs,gross_approval,gross_approval_share_percent,chargeoff_loan_approval,chargeoff_loan_approval_share_percent,gross_chargeoff_amount,gross_chargeoff_amount_share_percent,sensitivity_gross_chargeoff_amount,sensitivity_gross_chargeoff_amount_share_percent,financial_anomaly_share_shift_pp,display_chargeoff_rate_percent,display_ci95_low_percent,display_ci95_high_percent,risk_display_allowed,approval_weighted_chargeoff_incidence_percent,gross_chargeoff_rate_percent,sensitivity_gross_chargeoff_rate_percent,flagged_financial_chargeoffs
loan_size_band,$150k to $350k,53649,3256,1.3696011e+10,12.6964643,835209300,16.61488465,552950538.5,18.20104284,524479052.2,18.1036135,0.09742934172,6.069079,5.870169,6.274279,True,6.098194,4.037311,3.836097,93
loan_size_band,More than $1m,28434,1115,5.54008212e+10,51.35762145,2062514700,41.02976802,1114156146,36.67381138,1072719223,37.02739724,-0.353585853,3.921362,3.701904,4.153268,True,3.722896,2.011082,1.937538,20
loan_size_band,$50k to $150k,69628,4838,7281567143,6.750152088,523125000,10.40656699,373182891.4,12.28377101,348309655.9,12.02271733,0.2610536788,6.948354,6.761851,7.139607,True,7.184236,5.125035,4.794454,162
loan_size_band,Up to $50k,109567,8760,3037020900,2.815376493,226645800,4.508682822,182348787.5,6.002233223,165782950.2,5.722383847,0.2798493764,7.995108,7.835984,8.157177,True,7.462767,6.004199,5.476147,326
loan_size_band,$350k to $1m,46856,2330,2.8457218e+10,26.38038567,1379379100,27.44009751,815377332.8,26.83914154,785805061.1,27.12388808,-0.2847465439,4.972682,4.77952,5.173227,True,4.847203,2.865274,2.763988,46
term_band,85 to 120,64122,3100,2.531450474e+10,23.46703034,1030159000,20.49303445,725213637.5,23.8712933,692209804.3,23.89323026,-0.02193695454,4.834534,4.671202,5.003277,True,4.069442,2.864815,2.737502,87
term_band,241 to 360,39482,537,4.38769383e+10,40.67476147,608591700,12.10676281,291286407,9.588048124,280970071.7,9.698335067,-0.110286943,1.360113,1.250501,1.47919,True,1.387042,0.663871,0.640496,14
term_band,13 to 60,58667,9438,6893740600,6.390629461,1397658500,27.80373106,858422179.2,28.25601528,809984636.8,27.95850234,0.2975129364,16.087409,15.792322,16.386936,True,20.274312,12.452197,11.808978,315
term_band,61 to 84,110484,3953,1.23230646e+10,11.42371671,960153100,19.10040154,631150106.8,20.77507722,613045342.5,21.16068486,-0.3856076463,3.577894,3.469976,3.689039,True,7.791512,5.121698,4.981164,67
term_band,181 to 240,11449,479,8066608500,7.477900449,452049500,8.99265645,209148165.7,6.884367513,200009007.3,6.903775758,-0.01940824447,4.183772,3.832131,4.566147,True,5.60396,2.592765,2.482074,15
term_band,121 to 180,16493,398,8742650400,8.104604228,272718900,5.425218643,143770187.1,4.732371439,139855235.3,4.827428505,-0.09505706649,2.413145,2.189792,2.65866,True,3.119408,1.644469,1.600316,10
term_band,1 to 12,7260,2294,2620442300,2.429200159,290027600,5.769541981,167754336.8,5.521839042,150224645.1,5.185352785,0.3364862573,31.597796,30.538359,32.676697,True,11.067887,6.401757,5.760344,135
naics2,72,38671,2973,1.89236619e+10,17.54259672,892904100,17.76261187,527942785.7,17.37788209,501141850.3,17.29807574,0.07980635732,7.687932,7.426599,7.95767,True,4.718453,2.789855,2.651486,83
naics2,54,31653,1851,8063966100,7.475450894,328074300,6.526407993,219233847.6,7.216350061,209270993,7.223474721,-0.007124660255,5.847787,5.59461,6.111679,True,4.068399,2.718685,2.597431,47
naics2,31,6354,413,2431256200,2.253821024,115583000,2.299301759,72693497.53,2.392795324,67090639.61,2.315789361,0.0770059631,6.499843,5.919586,7.132665,True,4.754044,2.989956,2.763682,13
naics2,23,30997,2152,6091088000,5.646555141,438996300,8.73298811,285065020,9.383263568,267929834.3,9.248220964,0.135042604,6.942607,6.66495,7.230936,True,7.20719,4.680035,4.407554,110
naics2,11,5517,252,3136712600,2.907792607,109301300,2.174339404,57328344.61,1.887032535,56903719.21,1.964164127,-0.07713159154,4.5677,4.047672,5.150953,True,3.484581,1.827657,1.814249,7
